constituency,Donations and other support (including loans) for activities as an MP_sum,Employment and earnings_sum,Employment and earnings - Ad hoc payments_sum,Employment and earnings - Ongoing paid employment_sum,Gifts and benefits from sources outside the UK_sum,"Gifts, benefits and hospitality from UK sources_sum",Land and property (within or outside the UK)_sum,Miscellaneous_sum,Shareholdings_sum,Visits outside the UK_sum,pct_religion,IMD rank 2019,Income,Employment,"Education, skills and training",Health deprivation and disability,Crime,Barriers to housing and services,Living environment,sum_outside_payment,log_outside,Deprivation_PC1,Deprivation_PC2,share_under30,share_over64,HighQualifications_num,share_non_uk_born,HouseConstMedianPrice,pop_per_household,urbanicity_score
Cambridge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.345043237,359,419,471,454,382,176,165,103,2170,7.682943169878292,1.6294287681269106,-1.4832296480371303,0.360929290674404,0.110971147023415,59427,0.382158336,485428,1.9408929773390171,0.4636680983558419
Cannock Chase,27500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.524348631,254,220,195,105,213,318,449,375,1875,7.53689712956617,-0.9128871465557187,1.5317481971706208,0.2685188847142572,0.196519675697053,18748,0.035840784,218500,1.9950572967002622,0.38642278278304026
Canterbury,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4510674,363,373,405,338,335,222,139,465,2277,7.731053144007127,1.369032595923606,0.17344872088397845,0.346024761336515,0.201614707637231,33099,0.160484672,352250,1.986338048157434,0.42159616497249647
Carlisle,20000.0,0.0,1920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.527434421,213,251,174,110,151,355,400,280,1721,7.451241684987676,-1.0103941657948765,1.030165115114325,0.2616338994152942,0.216697330777455,23260,0.069430768,155000,1.9010853301300288,0.44012465848905324
Carshalton and Wallington,28252.0,0.0,1047.83,119.52,0.0,1475.85,0.0,0.0,0.0,0.0,0.458543228,319,268,295,366,367,260,209,208,1973,7.587817219993427,0.631425604891752,-0.7101497927788293,0.30908796679707917,0.143977687028205,30856,0.247448305,440000,2.0367537772528173,0.46410161513775455
Castle Point,18000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.486799707,318,300,279,111,338,324,312,495,2159,7.67786350067821,0.2606322990286233,1.4272986350754895,0.2591921990379678,0.254600189788505,14081,0.048242253,355000,2.0184355490268087,0.4142182154480216
Central Devon,45000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.477833834,335,358,362,400,408,512,188,31,2259,7.723120092266331,1.762229743116874,-1.2203784479197828,0.2398577491770831,0.267355341285549,27256,0.057125498000000004,305000,1.9904869428627527,0.2497916753711294
Central Suffolk and North Ipswich,9500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.473981564,399,414,434,302,414,446,202,259,2471,7.812782818577581,1.9718868559797134,-0.11392593513147589,0.2640588853838058,0.236866456361724,23198,0.077883095,295000,2.026876930086569,0.30306991670297184
Chatham and Aylesford,3575.64,0.0,1825.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.452656042,172,186,192,88,246,73,329,217,1331,7.194436851100335,-1.6013312916309186,-0.03872069205856899,0.3091988465042872,0.16049371119398,20421,0.13014847000000002,290000,2.022159655515071,0.42672502906791676
Cheadle,33000.0,0.0,0.0,921.22,0.0,0.0,0.0,0.0,0.0,0.0,0.487180024,462,462,408,511,271,249,492,407,2800,7.937731775260109,1.5305024110914947,1.4096671440492818,0.27180588406157924,0.226389061786796,34080,0.111161646,375000,2.0119438836787364,0.3219751509395767
Chelmsford,0.0,0.0,0.0,3131.42,0.0,1932.9,0.0,0.0,0.0,0.0,0.457093555,432,400,403,395,454,321,219,483,2675,7.892078421248119,2.1183704084188033,0.609323856036173,0.2857010771577824,0.170237159632009,31420,0.152071537,365000,1.9848905854676195,0.4638761336716785
Chelsea and Fulham,22200.0,0.0,2431.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50164409,306,299,384,516,429,172,76,49,1925,7.563200592358071,1.3412102169649092,-2.309779100536516,0.274327866954457,0.127041622216157,61703,0.46493553,905000,1.869237981432117,0.46410161513775455
Cheltenham,63450.0,0.0,0.0,0.0,0.0,863.69,0.0,0.0,0.0,0.0,0.449704083,402,371,359,393,309,314,427,390,2563,7.849323818040561,1.1183510385360953,1.185226768594278,0.2823831106870224,0.19158516221374,37218,0.146391956,325000,1.9000534854697806,0.4636020317476074
Chesham and Amersham,55450.0,0.0,0.0,0.0,0.0,324.91,0.0,0.0,0.0,0.0,0.485347412,530,521,518,519,532,481,260,518,3349,8.116715624819111,3.770461424118156,1.0411293861602393,0.28569426649583524,0.214165598975016,37476,0.158103203,610000,2.0443301069791135,0.23566492163315145
Chesterfield,15000.0,0.0,0.0,0.0,0.0,1438.24,0.0,0.0,0.0,0.0,0.478657229,185,160,108,196,46,466,458,502,1936,7.5688956634069955,-1.12336890534982,2.286616104864302,0.2534169960263763,0.22200087355783,21267,0.050748004,185123,1.898670660062205,0.43704189280359873
Chichester,99643.0,0.0,616.0,416.0,0.0,2160.0,0.0,0.0,0.0,0.0,0.518939576,374,364,358,286,321,413,222,307,2271,7.7284157798410416,1.223215168576164,0.18782355668228126,0.25215274121982356,0.267945777242987,29867,0.104854716,369225,1.9569818780889618,0.299079327409538
Chingford and Woodford Green,15000.0,0.0,8950.0,0.0,0.0,1975.0,0.0,0.0,0.0,0.0,0.462622969,290,272,326,387,401,179,62,158,1785,7.487733761436444,0.8066182422089748,-1.726733880961398,0.29427473635447,0.164518443832829,35035,0.275110633,542500,2.029149321479809,0.46410161513775455
Chippenham,19498.0,0.0,2940.1,1322.42,0.0,0.0,0.0,0.0,0.0,0.0,0.469534233,420,396,385,330,398,490,244,437,2680,7.893945138235959,2.0464823004500525,0.8675707926380088,0.2772260256707563,0.197269583278718,26685,0.093473849,300000,2.0051028124009074,0.3335927928769879
Chipping Barnet,45050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.420207442,408,340,389,512,516,274,72,276,2379,7.77485576666552,2.219175860077255,-1.2248688550886597,0.2934547493791224,0.176569551632974,43856,0.339802565,620000,2.0308789363512982,0.46406286709743916
Chorley,2995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.607609611,304,290,228,339,187,311,486,295,2136,7.667158255319148,-0.19926482555924696,1.1294536276185425,0.2701039239398667,0.2029515578759,27564,0.052622300999999996,202750,1.9809978526065701,0.3623657047020409
Christchurch,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.541234714,449,393,329,335,441,492,327,512,2829,7.948031990637284,2.0012745580188223,1.5291395731158082,0.211891179344985,0.350905702402327,22272,0.067821362,420000,1.965960427245666,0.44518381540397917
Cities of London and Westminster,94469.69,0.0,143.32,0.0,0.0,525.0,0.0,0.0,0.0,0.0,0.382818946,337,349,413,515,521,328,208,10,2344,7.76004068088038,2.0391855561418204,-1.7126298428791848,0.26071169208424,0.130125487072567,66167,0.5674142520000001,1025000,1.753584217282616,0.46410161513775455
City of Durham,14000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50847727,276,271,236,325,138,281,434,521,2206,7.699389406256737,-0.1890674890118261,1.8683546357452916,0.357447970508494,0.193284440890206,28224,0.09391037099999999,162500,1.9312778332076022,0.3629721964689834
Clacton,0.0,0.0,547585.27,4000.0,0.0,11333.2,0.0,0.0,0.0,0.0,0.504481199,42,58,13,29,34,159,337,278,908,6.812345094177479,-3.04645094918819,0.5123381578315407,0.22846718976460512,0.319476235693937,15142,0.05113452,269000,1.9026368542791057,0.3797397349807066
