constituency,Donations and other support (including loans) for activities as an MP_sum,Employment and earnings_sum,Employment and earnings - Ad hoc payments_sum,Employment and earnings - Ongoing paid employment_sum,Gifts and benefits from sources outside the UK_sum,"Gifts, benefits and hospitality from UK sources_sum",Land and property (within or outside the UK)_sum,Miscellaneous_sum,Shareholdings_sum,Visits outside the UK_sum,pct_religion,IMD rank 2019,Income,Employment,"Education, skills and training",Health deprivation and disability,Crime,Barriers to housing and services,Living environment,sum_outside_payment,log_outside,Deprivation_PC1,Deprivation_PC2,share_under30,share_over64,HighQualifications_num,share_non_uk_born,HouseConstMedianPrice,pop_per_household,urbanicity_score
Richmond Park,15800.0,0.0,0.0,0.0,0.0,1050.0,0.0,0.0,0.0,0.0,0.444063722,504,483,511,532,530,320,354,145,2875,7.964155718840937,2.7727238771781497,-0.42899888601727076,0.2899558311009969,0.159079710080005,56528,0.346209875,825000,1.9933508311461068,0.46410161513775455
Rochdale,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.384636315,29,28,27,77,36,14,322,229,733,6.598509028614515,-3.347559557074992,-0.05374338925954371,0.33959825360958895,0.147581479070123,20650,0.196179895,180000,1.9780608634111818,0.4094984469291739
Rochester and Strood,37000.0,0.0,1335.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.447079832,217,236,226,160,252,102,317,186,1479,7.299797366758161,-1.0881390077055104,-0.2370145481827356,0.3011706786501408,0.161089961931476,22227,0.125681797,310000,2.0127832066594284,0.4161017128929141
Romford,27800.0,0.0,0.0,0.0,0.0,8123.6,0.0,0.0,0.0,0.0,0.511000887,341,323,369,235,405,207,216,284,2039,7.620705086838262,0.728368475752359,-0.25524477740854556,0.2990232358396599,0.166506766079146,26759,0.217706172,440000,2.0399435865563897,0.46410161513775455
Romsey and Southampton North,22550.0,0.0,0.0,0.0,0.0,3520.0,0.0,0.0,0.0,0.0,0.494513741,407,468,485,427,404,356,116,170,2426,7.794411205726601,2.373995299921618,-1.0999048332562218,0.292232923220064,0.229696423799107,31238,0.140008884,390000,2.0180228782656475,0.34320194105938284
Rossendale and Darwen,15000.0,0.0,0.0,5436.92,0.0,0.0,0.0,0.0,0.0,0.0,0.523139428,157,176,135,205,127,203,451,148,1445,7.27655640271871,-1.7368814112909756,0.31282019544948936,0.2778089749273428,0.19125166247968,25389,0.046355284,165500,1.9580869841413888,0.30736405276148904
Rother Valley,30500.0,0.0,52070.0,0.0,0.0,1250.0,0.0,0.0,0.0,0.0,0.519525969,212,222,157,180,106,177,497,457,1796,7.493873886783559,-1.4460797356290511,1.8938957999489814,0.2689004645924253,0.226491514961175,19197,0.038515469,200000,2.0088172480423068,0.2666909501041223
Rotherham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44420932,36,40,25,22,24,59,495,312,977,6.885509670034818,-3.4934734526926507,1.2039322813426212,0.30235668789808823,0.170318471337579,18671,0.11480760500000001,165000,1.9519341348667014,0.44758715077690464
Rugby,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.504602082,389,375,378,333,348,268,294,330,2326,7.752335163302292,1.1149747774622436,0.33206502042728203,0.2828249217597745,0.184314183963451,29569,0.185631239,270000,2.013984496124031,0.4133587686989067
"Ruislip, Northwood and Pinner",20000.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.396259287,485,445,472,521,480,357,117,410,2802,7.938445551164788,2.997254040770881,-0.24371062948016917,0.27220566695287607,0.210929844941663,39573,0.330786256,635000,2.039070416709751,0.45086677453832275
Runnymede and Weybridge,6868.0,0.0,0.0,0.0,0.0,1550.0,0.0,0.0,0.0,0.0,0.534059637,468,481,506,443,502,312,112,322,2678,7.893198869544609,2.8682417889761265,-0.6000922888060002,0.2874510320928125,0.184091080307367,35110,0.20739044,503000,1.9949274529191288,0.3666737834382086
Rushcliffe,18000.0,0.0,0.0,7623.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43368482,528,503,481,524,514,506,471,447,3446,8.145259566516865,3.3163322864166016,1.682548230807657,0.27889007345389727,0.215882082530491,38039,0.090059076,335000,2.0102876946448918,0.34595743398997764
Salford,52188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.446259474,27,46,68,58,8,26,274,137,617,6.42648845745769,-3.3185012538643983,-0.5929532312309264,0.34323861799197,0.0973809354815813,37421,0.253887777,210000,1.8948338005606726,0.40894809627019574
Salisbury,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53207796,396,428,414,404,417,366,107,215,2351,7.763021309018518,2.098269014021303,-0.93358196955277,0.2481670093991227,0.247617919703706,29479,0.10752373700000001,334995,1.9825207997019743,0.35431089814385874
Scarborough and Whitby,43625.0,0.0,10923.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.523861462,144,163,117,122,125,406,339,121,1393,7.2399325913204695,-1.4699805691169838,0.08123220150814385,0.23794037384328037,0.267219976609147,22904,0.065337404,200000,1.8969738169378536,0.38751578109425733
Scunthorpe,28000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.502550972,154,155,139,67,145,138,485,388,1517,7.325148957955575,-2.0422253119675853,1.5421938490216103,0.28156441485740147,0.206161585596489,18785,0.128914487,158500,1.979633166052316,0.4394118178337287
Sefton Central,12000.0,0.0,0.0,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.688160199,391,369,245,472,180,403,519,365,2553,7.845416036592485,0.6841157472123678,1.6144944919914326,0.2372207517781473,0.280571621518587,27171,0.037789186,265000,1.9866512997823025,0.392956605684513
Sevenoaks,18270.0,0.0,0.0,0.0,0.0,4702.0,0.0,0.0,0.0,0.0,0.517140157,431,443,460,417,501,219,185,327,2552,7.845024417241484,2.2417775028482154,-0.38162871175883534,0.2829724458668795,0.213321998299744,29875,0.11721414299999999,465000,2.024457182560361,0.3058627286378336
Sheffield Central,5000.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.250786592,252,334,441,321,159,162,290,55,1762,7.47477218239787,0.04676787762539002,-0.9271461534663071,0.452898004864084,0.0817532229946409,36421,0.272132868,220000,1.8362337286664738,0.46410161513775455
Sheffield Hallam,31570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.422269789,526,525,510,530,364,423,478,429,3259,8.089482474360754,2.814638650879895,1.6310389792643734,0.310008463817181,0.217001692763436,39124,0.090261806,340000,2.011248778168177,0.4586441401223506
Sheffield Heeley,65308.33,0.0,0.0,0.0,0.0,1580.0,0.0,0.0,0.0,0.0,0.396617804,48,44,42,40,74,54,409,291,954,6.86171134048073,-3.173652174631292,0.6770255857795721,0.2961005610502711,0.171245940992026,26266,0.135603032,202000,1.9149090135149516,0.4634943768320407
Sheffield South East,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.414760226,116,113,111,51,97,121,377,385,1255,7.135687347028144,-2.362533460036553,1.055787641368017,0.288602068900066,0.190006643257094,18841,0.115373864,175000,1.9696813954017238,0.46337348250193616
Shipley,44000.0,0.0,1450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.463375829,288,339,294,365,197,108,491,136,1930,7.565793282428515,-0.42056021416088074,0.18102674457235657,0.2600544361390965,0.225158433539161,29086,0.065187633,215000,1.9389922373800008,0.29623427375448136
Sittingbourne and Sheppey,0.0,0.0,1198.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46762348,111,130,116,32,167,89,250,324,1108,7.011213987350367,-2.142133120850849,0.18810981549186095,0.2970176772310613,0.180791849075069,18990,0.083134239,290000,2.0337507345960852,0.3383832735799498
Skipton and Ripon,17500.010000000002,0.0,0.0,0.0,0.0,1125.0,0.0,0.0,0.0,0.0,0.559584324,429,486,456,438,425,525,233,91,2654,7.884199933676039,2.628082266320212,-0.7060253883128578,0.2358982620778536,0.274070121030267,30943,0.055832953,282500,1.9673518853040037,0.21280024436361222
Sleaford and North Hykeham,0.0,0.0,713.4,25203.6,0.0,700.0,0.0,0.0,0.0,0.0,0.534317948,448,402,357,403,418,533,310,417,2840,7.951911381854188,2.2433820921272942,1.0362250164811695,0.2565968409060583,0.234407233688791,23780,0.062229383,225500,2.016766928148612,0.2313436337001929
Slough,41500.0,0.0,0.0,0.0,0.0,895.0,0.0,0.0,0.0,0.0,0.311534407,209,228,324,260,215,126,21,221,1395,7.241366283322318,-0.23578894935853342,-1.465471349685173,0.3555153445280826,0.0996019108280254,35936,0.44409357,390000,2.0859330950742523,0.46410161513775455
South Basildon and East Thurrock,0.0,0.0,2136.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.480313409,206,211,211,61,281,120,251,432,1567,7.357556200910353,-1.0083160156766355,0.6429671635094533,0.3021951219512188,0.178175609756097,18060,0.11886661400000001,340000,2.0294503651075586,0.42986850665602744
South Cambridgeshire,51698.96,0.0,0.0,1574.5,0.0,600.0,0.0,0.0,0.0,0.0,0.458403233,509,515,507,509,512,450,131,359,2983,8.001019961323651,3.5317609765460274,-0.2246615050221511,0.2764634031757959,0.212167621911115,42218,0.186212339,475000,2.0299150273542077,0.2779671604653789
South Cotswolds,44816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.538608017,480,493,505,460,476,519,91,257,2801,7.938088726896952,3.325774729604681,-0.6806815366681136,0.2548483107931692,0.243893269280977,31124,0.085949428,410000,2.0096270148848463,0.25088639120692147
South Derbyshire,75500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.473402288,372,385,349,230,290,443,314,290,2301,7.741533589281828,0.9711575870974235,0.6662515427616784,0.2733477745534799,0.192708546205092,23963,0.061194679,245000,2.020581633162069,0.36782060876597655
South Devon,53709.0,0.0,0.0,0.0,0.0,1552.86,0.0,0.0,0.0,0.0,0.474550667,278,242,208,349,323,467,224,163,1976,7.589335823170617,0.5523161865356035,-0.5106582960565178,0.2240631638888273,0.304135000766552,26862,0.05845937,345000,1.964925500941942,0.3122845123742117
South Dorset,1932.0,0.0,0.0,4098.780000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.484236934,227,257,170,174,155,377,195,306,1634,7.399398083331354,-0.5144316223049572,0.20836160179108032,0.22936478134229119,0.278404189459368,23477,0.062798496,295000,1.9430204192265992,0.3737693975966184
South East Cornwall,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.485514815,233,258,212,312,219,471,138,44,1654,7.411556287811163,0.1847494905350946,-1.2618810256835196,0.226102901286808,0.287687433543823,23670,0.044168777,251250,1.9725023810105253,0.21567159656095108
South Holland and The Deepings,22100.0,0.0,0.0,121713.6,0.0,0.0,0.0,0.0,0.0,0.0,0.580698197,329,331,313,106,331,494,214,424,2213,7.7025561132685825,0.8677089064403373,0.9598681995253162,0.2537239814540788,0.241070067350031,19402,0.134226822,237500,2.0187538609010542,0.30879711657033226
South Leicestershire,11987.8,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.478386792,511,496,489,375,463,433,455,482,3193,8.069029328774958,2.649728359946743,1.872140792998364,0.2695097185958797,0.211149792089739,26154,0.051323838,283500,2.04401405958812,0.27087073642599074
South Norfolk,2610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.461511032,457,444,440,410,453,515,172,279,2713,7.906178840394815,2.704899902991821,-0.19458007321964968,0.2648119362581814,0.225285241463904,26519,0.074696369,300000,2.0255459289659012,0.2698087869134225
South Northamptonshire,7200.0,0.0,4825.59,0.0,0.0,3636.0,0.0,0.0,0.0,0.0,0.503224663,525,526,524,451,499,473,328,434,3235,8.082093278178382,3.3409822185225546,1.0716171328827742,0.2669962796162128,0.20812610142941,29070,0.076841081,345000,2.0548328065213775,0.30023225452302094
South Ribble,22000.0,0.0,0.0,2261.26,0.0,0.0,0.0,0.0,0.0,0.0,0.627341259,392,383,335,401,248,373,506,247,2493,7.821643126239982,0.8263956374445195,1.0404765806385416,0.2557393494184888,0.22710791126344,25912,0.044737375999999995,215000,1.9954777354004654,0.35520698446713356
South Shields,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.512210782,84,51,23,158,59,149,445,524,1409,7.251344983372214,-2.501663412648261,1.8459340394396075,0.2626973174918374,0.223418935747702,19980,0.051956992,155500,1.87881194791441,0.4522670848262273
South Shropshire,22360.0,0.0,0.0,0.0,0.0,810.0,0.0,0.0,0.0,0.0,0.588355486,309,381,387,356,403,482,49,27,2085,7.643003635560718,1.8516552579160304,-1.8089317042398336,0.2139620548561612,0.308395860149227,26985,0.040674707,295000,1.988525566219724,0.2139432537700612
South West Devon,17000.0,0.0,0.0,2260.0,0.0,1949.95,0.0,0.0,0.0,0.0,0.497762425,463,466,390,468,302,526,366,282,2800,7.937731775260109,2.1432402102465162,0.7404296538364292,0.2524221241108652,0.253413457607718,26741,0.047492839999999995,275000,2.024224740776465,0.38382504299710446
South West Hertfordshire,18984.13,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.477452831,495,463,484,433,513,390,258,496,3037,8.018954683155718,2.9662763161257337,0.8836314368533713,0.290308959110422,0.185083900545931,33828,0.185458754,540000,2.0321023747243165,0.3079706730501433
South West Norfolk,0.0,0.0,303.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.499237084,226,289,255,49,199,432,132,250,1606,7.382124365737512,-0.22064249870300714,-0.09880265457768322,0.2560933973179559,0.242047760854308,19110,0.120017719,250000,2.0146327121404015,0.3009225133608929
South West Wiltshire,2000.0,0.0,8171.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.483608079,336,343,312,231,391,332,174,355,2138,7.668093709082406,0.9890341006258077,0.0861072535165252,0.2608227659945252,0.22499461808937,22851,0.101494259,270000,1.989075188688258,0.30832941631634236
Southampton Itchen,27705.85,0.0,0.0,3037.37,0.0,0.0,0.0,0.0,0.0,0.0,0.404066836,136,190,230,129,105,24,348,98,1124,7.025538314638521,-2.0482559981098176,-0.49559905443600644,0.32645534379503804,0.146111772551898,26273,0.193905622,250000,1.9321346005651168,0.46410161513775455
Southampton Test,35000.0,0.0,0.0,32437.0,0.0,0.0,0.0,0.0,0.0,0.0,0.401427628,123,191,238,156,109,10,335,70,1109,7.01211529430638,-1.9866526301501801,-0.7284754190733757,0.341520876443345,0.127919163688156,30171,0.277764626,250000,1.9357901202070722,0.46410161513775455
Southport,41500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.594293989,246,229,155,367,122,397,520,184,1974,7.5883236773352225,-0.6679472577939524,0.8843921487873045,0.2389173342562524,0.256038844043607,25643,0.08784888399999999,209625,1.9181663992665594,0.46410161513775455
Spelthorne,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.509271041,378,416,443,293,415,244,99,197,2107,7.653494909661253,1.5421910520283797,-1.0941008555168577,0.2783266216646866,0.180259002810209,27996,0.208739221,448750,2.0093529482119363,0.45543999410845143
Spen Valley,22700.6,0.0,0.0,0.0,0.0,1799.2,0.0,0.0,0.0,0.0,0.472564437,236,263,233,223,224,88,424,120,1575,7.362645270417825,-1.1232848818945338,-0.10989867967019427,0.2824056702105474,0.206806337294142,21324,0.06354329,190000,1.967941765596756,0.3762543050156372
St Albans,53680.96,0.0,0.0,0.0,0.0,6541.3099999999995,0.0,0.0,0.0,0.0,0.447544789,499,470,467,520,519,293,266,446,2981,8.000349495324684,2.888101750859851,0.47091059081138376,0.2950827897641738,0.164545910687405,40606,0.191330765,590000,2.020471572828184,0.44078570168297165
St Austell and Newquay,0.0,0.0,1269.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.440950328,175,189,136,190,206,430,262,65,1478,7.2991214627108,-0.830075804413097,-0.5795240254210381,0.25676350204652076,0.234391534391534,21859,0.051486739000000004,275000,1.978831159870282,0.28043234405696466
St Helens North,0.0,0.0,0.0,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.623342784,91,95,40,128,23,221,498,358,1363,7.218176838403408,-2.5650074003843444,1.557017983640934,0.2692928512719962,0.208609369893942,22138,0.045794746,175000,1.9742788844621513,0.33408007583327104
St Ives,68000.0,0.0,0.0,1530.66,0.0,0.0,0.0,0.0,0.0,0.0,0.460562441,181,203,187,355,267,489,122,1,1624,7.393263094763838,0.2159729603648393,-1.6240197583365874,0.2311712196653653,0.283093347687614,24239,0.050303648,300000,1.9367907230288914,0.20951998845653885
Stafford,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.524326783,380,382,316,353,304,405,318,348,2426,7.794411205726601,1.196482654043576,0.7275784324283903,0.2524739067936075,0.221755796754234,26713,0.087629657,234000,1.973863445730582,0.40894809627019574
Staffordshire Moorlands,12000.0,0.0,1050.0,0.0,0.0,10400.0,0.0,0.0,0.0,0.0,0.588358149,360,386,304,285,324,441,308,241,2289,7.736307096548285,1.0346749074227577,0.34739212001366754,0.23752668246111952,0.265616570101569,20349,0.026155933,215000,1.9795771289279847,0.2612827709792237
Stalybridge and Hyde,4950.0,0.0,0.0,0.0,0.0,1269.28,0.0,0.0,0.0,0.0,0.469138719,100,115,88,152,61,71,423,212,1122,7.023758954738443,-2.6195932823561137,0.34957612248633846,0.288708738756215,0.177797290260661,20498,0.07259383,195000,1.950108171076718,0.40875256096966334
Stevenage,13000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.440723403,294,267,269,206,317,223,170,462,1914,7.557472901614746,0.19931079653998887,0.40007246246735195,0.29330649821652677,0.164627463483649,24850,0.156562383,330000,1.99495953982646,0.4451709905597923
Stockport,18320.84,0.0,0.0,0.0,0.0,550.0,0.0,0.0,0.0,0.0,0.431717599,92,99,97,146,72,44,490,146,1094,6.9985096422506015,-2.833662564062111,0.30127925620394447,0.2875880933837349,0.151805558193871,29726,0.115903055,240875,1.9139295019487093,0.46259865056325794
Stockton North,16000.0,0.0,28034.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.481587974,45,32,18,56,18,197,463,506,1290,7.1631723908466425,-2.889410772137629,2.0470451307068616,0.29202010526627553,0.180305528948226,19973,0.06674903900000001,135000,1.9292296178492914,0.4432864103045828
Stockton West,23000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.557892317,445,432,360,481,222,426,370,528,2819,7.944492163932159,1.7633146352999602,1.6960433487230875,0.26933166366197747,0.216218842097308,27282,0.05266634,219950,2.0326530612244897,0.36347363366696644
Stoke-on-Trent Central,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.438635015,34,59,51,28,13,72,456,128,807,6.694562058521095,-3.495345306216631,0.27062502303226116,0.328029730632038,0.149927079123543,20194,0.16637728499999999,128000,1.914935971104909,0.46410161513775455
Stoke-on-Trent North,20000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.473215176,78,94,77,47,40,118,450,258,1084,6.98933526597456,-2.9246834482214727,0.8540924900935228,0.295939503860295,0.192558895529192,16702,0.09661763000000001,150000,1.9537275064267352,0.4585259433189567
Stoke-on-Trent South,17000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.526288496,162,194,126,114,112,259,402,386,1593,7.374001859350161,-1.5536646433795882,1.3437650778422932,0.278338316552387,0.226442404200695,19753,0.073013016,200000,2.0035224657260082,0.46410161513775455
Stourbridge,20000.0,0.0,797.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.480729896,183,147,130,150,179,283,472,181,1542,7.341483852363161,-1.6260502738659517,0.6606000914720409,0.2770882182115424,0.209832856497515,20511,0.074797335,220000,1.947153646155751,0.4599142312041549
Stratford-on-Avon,10700.0,0.0,310.53,1861.6200000000001,0.0,643.0,0.0,0.0,0.0,0.0,0.570959803,447,457,458,474,430,400,127,210,2556,7.846589975291186,2.598412510541977,-0.8986466846401203,0.23451726683619,0.267082273808547,31348,0.090372783,365500,1.9777610039156484,0.3317258560229689
Stretford and Urmston,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.463426617,200,150,134,323,157,240,460,193,1657,7.4133673356952405,-1.2873064615375747,0.40783933594575467,0.301869505039281,0.161383706649511,28993,0.15178745300000002,285000,1.967374226976433,0.4439794356407425
Stroud,10000.0,0.0,1250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.465471095,471,407,382,416,410,518,376,426,2935,7.984803389734406,2.2452378030785343,1.3296769477736452,0.251491165932633,0.234510866775488,29911,0.062406309,330000,1.9808249242586893,0.31960912174412753
Suffolk Coastal,2000.0,0.0,0.0,0.0,0.0,450.0,0.0,0.0,0.0,0.0,0.492492654,357,384,330,240,345,449,321,173,2242,7.715569534520208,0.9822074113105042,0.15384963841398583,0.22187286834924871,0.30481539904502,24456,0.071580322,330000,1.9338457225622576,0.21820926848325736
Sunderland Central,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.528019874,88,71,44,167,49,48,522,508,1409,7.251344983372214,-2.730752283446936,1.983434557700249,0.2744716100205829,0.200461870575832,22841,0.091413722,142000,1.8958223162347965,0.46410161513775455
Surrey Heath,9000.0,0.0,0.0,5569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.499638231,519,523,526,459,493,469,223,487,3180,8.064950891749143,3.5044046769536026,0.8300102491313869,0.2772785622593059,0.198578836182062,31143,0.167089604,470000,2.0500455053696336,0.36970847598378404
Sutton Coldfield,32501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.524936908,409,452,407,506,265,452,142,164,2388,7.77863014732581,2.0872709623211736,-0.8806116295797046,0.2691561540909229,0.234605791240261,32540,0.102748686,356735,1.9966260404280618,0.46251932339949203
Sutton and Cheam,25500.0,0.0,0.0,7844.67,0.0,1552.86,0.0,0.0,0.0,0.0,0.456936679,475,436,475,486,450,369,248,263,2727,7.911324018963353,2.5252538945185856,-0.2391631792150535,0.2909849336203111,0.162463572122435,35033,0.307852255,475000,2.0088378449660724,0.46410161513775455
Tamworth,26000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.502809548,281,274,271,149,225,275,277,463,1934,7.5678626054638825,-0.1885388746119261,1.0781017001247817,0.2766833458098575,0.204769315629801,20258,0.066221784,250000,2.0352160107764843,0.424874290060039
Tatton,0.0,0.0,3692.2999999999997,0.0,0.0,335.0,0.0,0.0,0.0,0.0,0.551084635,486,491,462,502,407,431,324,354,2971,7.99699040583765,2.7297240603335684,0.63334289610911,0.25366291138475117,0.240603397891936,36115,0.079998704,399995,1.987346346798545,0.37073151860080455
Telford,29450.0,0.0,1810.0,3057.38,0.0,1238.0,0.0,0.0,0.0,0.0,0.451116412,105,83,91,75,108,105,338,510,1310,7.1785454837637,-2.279388739374523,1.3433457886444091,0.3098803655445277,0.157909998222787,19902,0.11059495,204000,2.0121401029761494,0.4597586259758963
Tewkesbury,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50728703,439,437,442,334,378,483,206,425,2705,7.903226808730733,2.305900590801999,0.6758152477675621,0.2636243616378904,0.225992979296087,27679,0.09495603799999999,312500,2.0015783648525094,0.29633927976395347
The Wrekin,9500.0,0.0,8000.0,23883.33,0.0,0.0,0.0,0.0,0.0,0.0,0.519779956,301,298,290,267,217,351,249,394,2066,7.633853559681768,0.37361847781784613,0.6426865965655244,0.2871091975947821,0.204770468872054,26547,0.10342317200000001,242500,2.0202748511223088,0.3762558056684678
Thirsk and Malton,4999.0,0.0,0.0,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.583159417,364,398,400,275,399,531,141,112,2256,7.721791776817535,1.8219255185954801,-0.8613434893336408,0.2275621340539645,0.282848134954755,26311,0.051052291,262500,1.9737454395263991,0.2485698721701817
Thornbury and Yate,12500.0,0.0,0.0,1405.32,0.0,2352.8599999999997,0.0,0.0,0.0,0.0,0.476890478,473,487,468,347,489,392,232,421,2836,7.950502434808851,2.643709448073459,0.5975694449737508,0.2635637094747416,0.22936416184971,26825,0.061805176,332000,2.052459918461269,0.3149537196881475
Thurrock,30450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.522580912,216,184,261,113,311,131,120,323,1443,7.275172319452771,-0.6553020984167423,-0.50229619309083,0.3377575767574608,0.110809562305116,26589,0.263777748,335000,2.0519652884124553,0.3711435064503316
Tonbridge,326805.49,0.0,0.0,0.0,0.0,509.02,0.0,0.0,0.0,0.0,0.501465823,427,433,446,397,477,295,163,298,2509,7.828038032125829,2.222963561962729,-0.46418356876658823,0.27994917095365923,0.217027730524072,27747,0.094915688,441500,2.032740643731426,0.4599142312041549
Tooting,13950.0,0.0,8080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.405361321,321,295,410,514,344,196,82,87,1928,7.564757012905729,1.2433167207383715,-2.0366332816539794,0.2654315789473676,0.0980304093567251,55430,0.340868882,616000,2.0049085703731064,0.46410161513775455
Torbay,28392.0,0.0,0.0,0.0,0.0,1552.86,0.0,0.0,0.0,0.0,0.481719524,106,91,50,181,113,208,300,201,1144,7.0431599159883405,-2.119133597880757,-0.12973309473187356,0.2425817090591828,0.260462306932686,22123,0.080355609,235000,1.892182300661303,0.45937273375152143
Tottenham,192173.55,0.0,33660.0,0.0,0.0,4800.0,0.0,0.0,0.0,0.0,0.409951789,47,33,115,178,229,20,11,68,654,6.484635235635252,-2.039569172051012,-2.3606155093443566,0.3158686700382419,0.0898140740033911,45033,0.506740295,512500,1.9735201468740942,0.46410161513775455
Truro and Falmouth,34240.0,0.0,0.0,933.86,0.0,0.0,0.0,0.0,0.0,0.0,0.436797842,302,302,284,419,295,502,157,62,2021,7.611842399580417,1.1177204676364885,-1.2162964295183707,0.28249921964415703,0.238372697950265,29907,0.069376871,330000,1.9750422162942658,0.20972806283059
Tunbridge Wells,145786.4,0.0,513.28,0.0,0.0,1183.9,0.0,0.0,0.0,0.0,0.49318005,470,448,453,429,474,384,313,281,2782,7.931284761525891,2.39743520647045,0.21084392844366132,0.2789794263516184,0.194101340775801,35105,0.139260743,435000,1.986233157586409,0.3697677128933131
Twickenham,114760.0,0.0,0.0,0.0,0.0,3256.37,0.0,0.0,0.0,0.0,0.44668561,503,490,495,531,524,308,379,176,2903,7.973844375944687,2.7011614014486502,-0.18734477242739758,0.29061034618043147,0.163879911072916,50008,0.256394781,655000,1.9917858602370249,0.4640197307186944
Uxbridge and South Ruislip,23500.0,0.0,2392.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.430187946,368,354,429,386,369,226,84,269,2117,7.658227526161352,1.4749935488590853,-1.0109548053346646,0.331833866877311,0.131127094333347,36630,0.32816113399999997,485000,2.042398336414048,0.46410161513775455
Wallasey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.520060144,56,65,33,175,14,168,532,81,1068,6.974478911025045,-3.0384453732328978,0.35896229734714763,0.2704229133110311,0.212272333044232,21287,0.046328698,180000,1.9013956071932787,0.46281038673050373
Walthamstow,7000.0,0.0,820.9200000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.350694756,139,121,216,318,284,90,15,56,1100,7.00397413672268,-0.7816178049831483,-2.447080566907143,0.3076474166132393,0.0818332757968798,45342,0.407391069,518705,2.041600247278829,0.46410161513775455
Warrington North,10000.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.568337731,194,206,150,191,114,227,421,285,1594,7.374629015218945,-1.440015671201507,0.8574950105771926,0.2694234675277327,0.196677256392896,22428,0.091987049,210000,1.9636685654109425,0.4258439684311868
